id	filename	md5	size	state
a3050565-d0b5-4bd3-bfb6-d38271cef548	165c1d30-b380-4a7d-a5d4-243fa9db3868.FPKM.txt.gz	2dd0153eef0af18f032631a6454f772b	301209	released
e1cdf086-0c5a-464c-89fa-9b34670b2cad	9b3566d3-56a5-4646-9a95-967f66d970e1.FPKM.txt.gz	5c3abd5832abc304a7bb221366c25067	294878	released
39fe6471-c933-4e60-925b-1f50427bd501	7b6d32bf-0bfd-4352-9452-533f95eae7ca.FPKM.txt.gz	433c83a37f940af0b431d990c91ca939	304419	released
8113bf0a-f708-4d4f-b70e-2e9e5f978d12	2629a445-1d95-4efa-9bf8-214f993c3812.FPKM.txt.gz	e9f254a382cca1624ae033141a1128ae	307566	released
029e82da-ef7c-4ca8-b20c-fbb85bcb272d	e41282a2-beeb-48f2-8768-57d9ce2717b5.FPKM.txt.gz	bca59edce437dadd68c20f97fc638458	291919	released
20d7add9-feeb-4705-88c2-8e21902891ef	b1d77bf7-7967-4173-8619-cace231661e0.FPKM.txt.gz	1924bd4f6c099fd9cca06a2ea66dbe7b	296250	released
070185a7-cae5-41fc-becc-e2f932d9aa83	b07e4093-5b08-4661-b5b7-3335a58732c6.FPKM.txt.gz	86759d7cf8d3fbec04573a47b32a371b	298625	released
68acd717-d11f-4b61-a69e-1f24ed8a2127	b41174a5-4db8-438c-a9fa-6da8c08a9c75.FPKM.txt.gz	bd06f03ddf447b6e56381fc6c232dcea	515842	released
f1c50289-1db1-4066-a44c-34e89963ee6d	d4924657-2b67-4083-8190-bd4c15534066.FPKM.txt.gz	efb70f561245181f4e656b4de224f485	517592	released
1dcf2fb5-d3ee-4a8d-9149-39805d57b1ec	723562fb-cff9-4cd4-94ed-9ae9cde55a9d.FPKM.txt.gz	22abdeae0786c4a6958cf89d219ab4d2	548295	released
83483ade-03e1-4963-8877-03fbb11e7707	bcae978c-e9b1-4c7a-8691-caf718db5b3a.FPKM.txt.gz	6ff81c0a00a48438701d90c9f82a66c2	534291	released
e9d3d6ad-bd0b-436e-b542-1698b09021f2	225ccdc9-0d78-4d35-a969-080e6db2d42b.FPKM.txt.gz	503461cdc544d599a87c6abbdc3d9bbd	529039	released
6f5fe013-65c9-45de-a559-a136548cdcd7	fe613719-8ab9-4a9b-9db9-dd5d473d2a1c.FPKM.txt.gz	cf7a97ee31229c606965663cc6368c20	522535	released
f37cd7df-5e84-4c9f-91b8-4509f4eb7a3b	99059480-b9f1-4b89-840c-439e42d8f42c.FPKM.txt.gz	fbaff893a991e4581166074f0a0334af	515290	released
7d6de62c-33fb-4a83-a4ac-9ac5de31cf25	33fa1673-1d0d-4838-a313-1929c5af60d1.FPKM.txt.gz	42638bf1ad01dfb3af1f8d21b9bf44c3	522708	released
d4d9ec1c-fcba-479b-b429-7249209ae1ed	a09e07b7-9834-465a-8e85-0cec02fc1881.FPKM.txt.gz	2cde719f7823f264e1189acf459cd502	513464	released
417c64cb-51ab-41a9-8732-1c8b96821972	f790ef4c-71bf-43a7-a610-4006a4c0a42c.FPKM.txt.gz	87697bea5416b1bbb538fba44cec2b17	509482	released
d9803898-a63d-43f0-8097-dc6adbb04cec	bbf9a30d-3067-491b-9aea-0cb9bed91969.FPKM.txt.gz	c2c1414dd01f4eee906df8c9b65d4f3e	535777	released
